function,taylor
1,1
exp(x) + 20,x**4/24 + x**3/6 + x**2/2 + x + 21
sin(x) + cos(x) - 5,x**4/24 - x**3/6 - x**2/2 + x - 4
5*x,5*x
-2*x**2 + exp(x),x**4/24 + x**3/6 - 3*x**2/2 + x + 1
-x,-x
x + cos(x),x**4/24 - x**2/2 + x + 1
2 - cos(x),-x**4/24 + x**2/2 + 1
x + cos(x) - 3,x**4/24 - x**2/2 + x - 2
3 - sin(x),x**3/6 - x + 3
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
2*x,2*x
x,x
sin(2*x)/2,-2*x**3/3 + x
x - sin(x) - 2*cos(x),-x**4/12 + x**3/6 + x**2 - 2
x**2,x**2
0,0
-5*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 4*x + 1
x*sin(x),-x**4/6 + x**2
exp(x) - sin(x) + 4,x**4/24 + x**3/3 + x**2/2 + 5
3*cos(x),x**4/8 - 3*x**2/2 + 3
-x + sin(x) - 10,-x**3/6 - 10
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
6 - x**2,6 - x**2
-x + exp(x) + 2*cos(x),x**4/8 + x**3/6 - x**2/2 + 3
x*(x*exp(x) - 1),x*(x**3/2 + x**2 + x - 1)
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
exp(x) + sin(x)**2,-7*x**4/24 + x**3/6 + 3*x**2/2 + x + 1
sin(x) + 2,-x**3/6 + x + 2
x + 1,x + 1
4 - 2*x,4 - 2*x
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x*(-x*exp(x) + 1),x*(-x**3/2 - x**2 - x + 1)
2*x + cos(x) + 5,x**4/24 - x**2/2 + 2*x + 6
x*(cos(x) + 1),x*(4 - x**2)/2
exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 1
4*sin(x),2*x*(6 - x**2)/3
3*x**2,3*x**2
5*x,5*x
x**2 + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + x + 1
-3,-3
x - cos(x),-x**4/24 + x**2/2 + x - 1
4*x,4*x
x + sin(x),x*(12 - x**2)/6
-exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 - 1
-3*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 2*x + 1
-cos(x) - 1,-x**4/24 + x**2/2 - 2
x - sin(2*x)/2 + 1,2*x**3/3 + 1
-x - sin(x) + 5,x**3/6 - 2*x + 5
x*(1 - exp(x)),x**2*(-x**2 - 3*x - 6)/6
x*cos(x) + x - 5,-x**3/2 + 2*x - 5
x*(3*cos(x) - 1),x*(4 - 3*x**2)/2
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
x - 3*cos(x),-x**4/8 + 3*x**2/2 + x - 3
exp(x) + sin(x)**2,-7*x**4/24 + x**3/6 + 3*x**2/2 + x + 1
-x + exp(x) - sin(x) + 5,x**4/24 + x**3/3 + x**2/2 - x + 6
2 - 2*exp(x),x*(-x**3 - 4*x**2 - 12*x - 24)/12
x**2*exp(x),x**2*(x**2/2 + x + 1)
1,1
3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
x*exp(x) + cos(x),5*x**4/24 + x**3/2 + x**2/2 + x + 1
-x + sqrt(2)*sin(x + pi/4) + 2,x**4/24 - x**3/6 - x**2/2 + 3
x - cos(x) - 5,-x**4/24 + x**2/2 + x - 6
0,0
x + exp(x) + sin(x) - 5,x**4/24 + x**2/2 + 3*x - 4
5*x,5*x
2 - x,2 - x
x + exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 3*x + 1
sin(x),-x**3/6 + x
3*sin(x),x*(6 - x**2)/2
1 - x,1 - x
(2 - cos(x))*cos(x),1 - x**4/4
2*x - 6,2*x - 6
0,0
x*sin(x) + cos(x),-x**4/8 + x**2/2 + 1
x**2*exp(x)*cos(x),x**2*(x + 1)
2*x,2*x
x + sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + 2*x - 1
x*(x - exp(x)),-x**4/6 - x**3/2 - x
x - 4,x - 4
-x + 2*exp(x) + sin(x),x**4/12 + x**3/6 + x**2 + 2*x + 2
x - sin(x),x**3/6
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
5,5
4*x + cos(x) + 3,x**4/24 - x**2/2 + 4*x + 4
15*cos(x),5*x**4/8 - 15*x**2/2 + 15
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
4,4
exp(x)*sin(x) + 2,x**3/3 + x**2 + x + 2
-cos(x)**2,-x**4/3 + x**2 - 1
2*x + exp(x) - cos(x),x*(x**2 + 6*x + 18)/6
x*cos(x) + 5,-x**3/2 + x + 5
2*x - sqrt(2)*cos(x + pi/4),-x**4/24 - x**3/6 + x**2/2 + 3*x - 1
7 - sin(x),x**3/6 - x + 7
x**2,x**2
x*cos(x) - x + 2,2 - x**3/2
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
0,0
4*sin(x),2*x*(6 - x**2)/3
x*cos(x) - exp(x)*sin(x),x**2*(-5*x - 6)/6
x,x
cos(x) + 1,x**4/24 - x**2/2 + 2
x**2,x**2
20 - x,20 - x
-3,-3
7 - 2*x,7 - 2*x
x - sin(x),x**3/6
x - sin(x) + 5,x**3/6 + 5
-2*sin(x),x*(x**2 - 6)/3
sin(x),-x**3/6 + x
2*x,2*x
x + cos(x),x**4/24 - x**2/2 + x + 1
1,1
4 - x,4 - x
-x + exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + 5
sin(x) + 1,-x**3/6 + x + 1
2*x,2*x
exp(x)*sin(x),x*(x**2/3 + x + 1)
exp(x)*sin(x) + sin(x) - 2,x**3/6 + x**2 + 2*x - 2
2*cos(x),x**4/12 - x**2 + 2
-x + exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + 5
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
3,3
7,7
15*x*cos(x),15*x*(2 - x**2)/2
exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 24)/24
x**2*cos(x) + 3,-x**4/2 + x**2 + 3
x*exp(x) + sin(x),x*(x**3 + 2*x**2 + 6*x + 12)/6
x*(-x + cos(x)),x*(-x**2/2 - x + 1)
3*x + 5,3*x + 5
-x - sin(x) + 3,x**3/6 - 2*x + 3
x**2,x**2
x - exp(x) + cos(x) + 1,-x**3/6 - x**2 + 1
2*x,2*x
cos(x)**2,x**4/3 - x**2 + 1
x*exp(x)*sin(x),x**2*(x**2/3 + x + 1)
-x + 2*cos(x),x**4/12 - x**2 - x + 2
x + 7,x + 7
x + 5,x + 5
x**2,x**2
-x + 2*sin(x) + 4,-x**3/3 + x + 4
x + sin(x) + 5,-x**3/6 + 2*x + 5
exp(x) + cos(x) + 9,x**4/12 + x**3/6 + x + 11
3*x,3*x
-exp(x) + cos(x),-x*(x**2/6 + x + 1)
x*sin(x),-x**4/6 + x**2
-x,-x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-sin(x) - 1,x**3/6 - x - 1
x*cos(x) - 1,-x**3/2 + x - 1
x*cos(x) + 2,-x**3/2 + x + 2
x**2*exp(x) + 1,x**4/2 + x**3 + x**2 + 1
-4,-4
11,11
-cos(x),-x**4/24 + x**2/2 - 1
2*x*exp(x) - 5,x**4/3 + x**3 + 2*x**2 + 2*x - 5
1 - 3*sin(x),x**3/2 - 3*x + 1
2*sin(x),x*(6 - x**2)/3
2*x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 3*x + 2
4*cos(x) - 3,x**4/6 - 2*x**2 + 1
5*x - cos(x) + 5,-x**4/24 + x**2/2 + 5*x + 4
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
0,0
